,have_inv,intervallo
243,1,"(0.0, 200.0]"
244,1,"(20200.0, 20400.0]"
245,0,"(-200.0, 0.0]"
246,1,"(0.0, 200.0]"
247,1,"(200.0, 400.0]"
248,1,"(400.0, 600.0]"
249,1,"(0.0, 200.0]"
250,1,"(0.0, 200.0]"
251,1,"(40800.0, 41000.0]"
252,1,"(0.0, 200.0]"
253,1,"(0.0, 200.0]"
254,1,"(0.0, 200.0]"
255,1,"(0.0, 200.0]"
256,1,"(40400.0, 40600.0]"
257,1,"(27400.0, 27600.0]"
258,1,"(0.0, 200.0]"
259,1,"(40400.0, 40600.0]"
260,0,"(-200.0, 0.0]"
261,1,"(7000.0, 7200.0]"
262,1,"(0.0, 200.0]"
263,1,"(17000.0, 17200.0]"
264,1,"(400.0, 600.0]"
265,0,"(-200.0, 0.0]"
266,1,"(400.0, 600.0]"
267,1,"(-200.0, 0.0]"
268,1,"(0.0, 200.0]"
269,0,"(-200.0, 0.0]"
270,1,"(0.0, 200.0]"
271,1,"(200.0, 400.0]"
272,1,"(0.0, 200.0]"
273,1,"(0.0, 200.0]"
274,1,"(200.0, 400.0]"
275,0,"(-200.0, 0.0]"
276,1,"(1800.0, 2000.0]"
277,1,"(0.0, 200.0]"
278,1,"(0.0, 200.0]"
279,1,"(40600.0, 40800.0]"
280,0,"(1000.0, 1200.0]"
281,1,"(0.0, 200.0]"
282,1,"(0.0, 200.0]"
283,1,"(0.0, 200.0]"
284,1,"(200.0, 400.0]"
285,1,"(0.0, 200.0]"
286,1,"(0.0, 200.0]"
287,1,"(0.0, 200.0]"
288,1,"(0.0, 200.0]"
289,1,"(40800.0, 41000.0]"
290,1,"(0.0, 200.0]"
291,1,"(40600.0, 40800.0]"
292,1,"(0.0, 200.0]"
293,1,"(200.0, 400.0]"
294,1,"(200.0, 400.0]"
295,1,"(0.0, 200.0]"
296,1,"(0.0, 200.0]"
297,1,"(2200.0, 2400.0]"
299,1,"(400.0, 600.0]"
300,1,"(7600.0, 7800.0]"
301,1,"(1600.0, 1800.0]"
302,1,"(0.0, 200.0]"
303,1,"(400.0, 600.0]"
304,1,"(200.0, 400.0]"
305,1,"(0.0, 200.0]"
306,1,"(0.0, 200.0]"
307,1,"(400.0, 600.0]"
309,1,"(0.0, 200.0]"
310,0,"(0.0, 200.0]"
311,1,"(200.0, 400.0]"
312,1,"(0.0, 200.0]"
313,1,"(-200.0, 0.0]"
314,1,"(0.0, 200.0]"
315,1,"(0.0, 200.0]"
316,1,"(2000.0, 2200.0]"
317,1,"(0.0, 200.0]"
318,1,"(0.0, 200.0]"
319,1,"(200.0, 400.0]"
320,1,"(0.0, 200.0]"
321,1,"(36000.0, 36200.0]"
322,1,"(40600.0, 40800.0]"
323,1,"(10600.0, 10800.0]"
324,1,"(-200.0, 0.0]"
325,1,"(36600.0, 36800.0]"
326,1,"(1400.0, 1600.0]"
327,1,"(0.0, 200.0]"
328,1,"(39000.0, 39200.0]"
329,1,"(9400.0, 9600.0]"
330,1,"(40600.0, 40800.0]"
331,1,"(-200.0, 0.0]"
332,1,"(-200.0, 0.0]"
333,1,"(0.0, 200.0]"
334,1,"(0.0, 200.0]"
335,1,"(0.0, 200.0]"
336,1,"(-200.0, 0.0]"
337,1,"(-200.0, 0.0]"
338,1,"(0.0, 200.0]"
339,0,"(0.0, 200.0]"
340,1,"(800.0, 1000.0]"
341,1,"(9800.0, 10000.0]"
342,1,"(400.0, 600.0]"
343,1,"(40600.0, 40800.0]"
344,1,"(0.0, 200.0]"
345,1,"(0.0, 200.0]"
346,1,"(200.0, 400.0]"
347,1,"(0.0, 200.0]"
348,1,"(0.0, 200.0]"
349,1,"(0.0, 200.0]"
350,1,"(6400.0, 6600.0]"
351,1,"(40200.0, 40400.0]"
352,1,"(400.0, 600.0]"
353,0,"(-200.0, 0.0]"
354,1,"(0.0, 200.0]"
355,1,"(0.0, 200.0]"
356,1,"(18800.0, 19000.0]"
357,1,"(0.0, 200.0]"
358,1,"(0.0, 200.0]"
359,1,"(40400.0, 40600.0]"
360,1,"(0.0, 200.0]"
361,1,"(0.0, 200.0]"
362,1,"(1000.0, 1200.0]"
363,1,"(-200.0, 0.0]"
364,1,"(0.0, 200.0]"
365,1,"(0.0, 200.0]"
366,1,"(0.0, 200.0]"
367,1,"(9600.0, 9800.0]"
368,1,"(200.0, 400.0]"
369,1,"(0.0, 200.0]"
370,1,"(1200.0, 1400.0]"
371,1,"(0.0, 200.0]"
372,1,"(-200.0, 0.0]"
373,1,"(200.0, 400.0]"
374,1,"(0.0, 200.0]"
375,1,"(7000.0, 7200.0]"
376,1,"(0.0, 200.0]"
377,1,"(0.0, 200.0]"
378,1,"(0.0, 200.0]"
379,1,"(0.0, 200.0]"
380,1,"(40800.0, 41000.0]"
381,1,"(-200.0, 0.0]"
382,1,"(0.0, 200.0]"
383,1,"(-200.0, 0.0]"
384,0,"(-200.0, 0.0]"
385,1,"(0.0, 200.0]"
386,1,"(0.0, 200.0]"
387,1,"(0.0, 200.0]"
388,1,"(40400.0, 40600.0]"
389,1,"(-200.0, 0.0]"
390,1,"(1000.0, 1200.0]"
391,1,"(-200.0, 0.0]"
392,1,"(40400.0, 40600.0]"
393,1,"(0.0, 200.0]"
394,1,"(24400.0, 24600.0]"
395,1,"(0.0, 200.0]"
396,1,"(0.0, 200.0]"
397,1,"(0.0, 200.0]"
398,1,"(0.0, 200.0]"
399,1,"(40600.0, 40800.0]"
400,1,"(40600.0, 40800.0]"
401,1,"(0.0, 200.0]"
402,1,"(11200.0, 11400.0]"
403,1,"(1000.0, 1200.0]"
404,1,"(0.0, 200.0]"
405,1,"(0.0, 200.0]"
406,0,"(0.0, 200.0]"
407,1,"(0.0, 200.0]"
408,1,"(0.0, 200.0]"
409,1,"(1000.0, 1200.0]"
410,1,"(0.0, 200.0]"
411,0,"(0.0, 200.0]"
412,1,"(40400.0, 40600.0]"
413,1,"(1600.0, 1800.0]"
414,1,"(0.0, 200.0]"
415,1,"(200.0, 400.0]"
416,1,"(0.0, 200.0]"
417,1,"(0.0, 200.0]"
418,1,"(0.0, 200.0]"
419,1,"(0.0, 200.0]"
420,1,"(40600.0, 40800.0]"
421,1,"(0.0, 200.0]"
422,1,"(0.0, 200.0]"
423,1,"(6000.0, 6200.0]"
424,1,"(400.0, 600.0]"
425,0,"(-200.0, 0.0]"
426,1,"(0.0, 200.0]"
427,1,"(0.0, 200.0]"
429,1,"(0.0, 200.0]"
430,1,"(13800.0, 14000.0]"
431,1,"(600.0, 800.0]"
432,1,"(40600.0, 40800.0]"
433,1,"(0.0, 200.0]"
434,0,"(-200.0, 0.0]"
435,1,"(0.0, 200.0]"
436,1,"(0.0, 200.0]"
437,1,"(600.0, 800.0]"
438,1,"(40800.0, 41000.0]"
439,1,"(40800.0, 41000.0]"
440,1,"(0.0, 200.0]"
441,1,"(0.0, 200.0]"
442,1,"(200.0, 400.0]"
443,1,"(0.0, 200.0]"
444,1,"(40800.0, 41000.0]"
445,1,"(12200.0, 12400.0]"
446,1,"(0.0, 200.0]"
447,1,"(0.0, 200.0]"
448,1,"(1200.0, 1400.0]"
449,1,"(200.0, 400.0]"
450,1,"(600.0, 800.0]"
451,1,"(40800.0, 41000.0]"
452,0,"(0.0, 200.0]"
453,1,"(-200.0, 0.0]"
454,1,"(200.0, 400.0]"
455,1,"(0.0, 200.0]"
456,1,"(40600.0, 40800.0]"
457,1,"(0.0, 200.0]"
458,1,"(40800.0, 41000.0]"
459,1,"(0.0, 200.0]"
460,1,"(8200.0, 8400.0]"
461,1,"(0.0, 200.0]"
462,1,"(1200.0, 1400.0]"
463,1,"(0.0, 200.0]"
464,1,"(7200.0, 7400.0]"
465,1,"(0.0, 200.0]"
466,1,"(29800.0, 30000.0]"
467,1,"(25600.0, 25800.0]"
468,1,"(9600.0, 9800.0]"
469,1,"(0.0, 200.0]"
470,1,"(0.0, 200.0]"
471,1,"(40600.0, 40800.0]"
472,1,"(0.0, 200.0]"
473,1,"(1400.0, 1600.0]"
474,1,"(-200.0, 0.0]"
475,1,"(0.0, 200.0]"
476,1,"(16000.0, 16200.0]"
477,0,"(0.0, 200.0]"
478,1,"(1200.0, 1400.0]"
479,1,"(0.0, 200.0]"
480,1,"(0.0, 200.0]"
481,1,"(0.0, 200.0]"
482,1,"(2000.0, 2200.0]"
483,1,"(-200.0, 0.0]"
484,1,"(0.0, 200.0]"
485,1,"(40400.0, 40600.0]"
486,1,"(6200.0, 6400.0]"
487,1,"(200.0, 400.0]"
488,1,"(0.0, 200.0]"
489,0,"(3200.0, 3400.0]"
490,1,"(-200.0, 0.0]"
491,1,"(0.0, 200.0]"
492,1,"(40600.0, 40800.0]"
493,1,"(0.0, 200.0]"
494,1,"(600.0, 800.0]"
495,1,"(0.0, 200.0]"
496,1,"(200.0, 400.0]"
497,1,"(0.0, 200.0]"
498,1,"(200.0, 400.0]"
499,1,"(600.0, 800.0]"
500,1,"(7000.0, 7200.0]"
501,1,"(200.0, 400.0]"
502,1,"(200.0, 400.0]"
503,1,"(400.0, 600.0]"
504,1,"(0.0, 200.0]"
